ISIN,Symbol,Yahoo ticker,Name,Industry,Sector,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
NL0000852564,AALB,AALB.AS,AALBERTS NV,Specialty Industrial Machinery,Industrial Goods,Euronext Amsterdam,EUR,30.25,31.7,30.23,31.57,03/08/20 17:35,CET,255979,7948614.96
NL0011540547,ABN,ABN.AS,ABN AMRO BANK N.V.,Banks—Diversified,,Euronext Amsterdam,EUR,7.00,7.194,6.934,7.168,03/08/20 17:35,CET,3412576,24200744.74
NL0009767532,ACCEL,ACCEL.AS,ACCELL GROUP,Leisure,Consumer Goods,Euronext Amsterdam,EUR,23.75,24.65,23.75,24.40,03/08/20 17:35,CET,102951,2503301.10
GB00BQQFX454,AXS,AXS.AS,ACCSYS,Lumber & Wood Production,Industrial Goods,Euronext Amsterdam,EUR,0.974,0.974,0.956,0.968,03/08/20 17:35,CET,75503,73096.01
NL0012969182,ADYEN,ADYEN.AS,ADYEN,Software—Infrastructure,,Euronext Amsterdam,EUR,1421.50,1463.00,1414.50,1463.00,03/08/20 17:35,CET,84640,122622900.00
BE0003851681,AED,AED.BR,AEDIFICA,REIT—Residential,Financial,"Euronext Brussels, Amsterdam",EUR,98.00,98.50,96.20,97.00,03/08/20 17:35,CET,46663,4519474.50
NL0000303709,AGN,AGN.AS,AEGON, Insurance—Diversified,,Euronext Amsterdam,EUR,2.502,2.627,2.482,2.621,03/08/20 17:35,CET,11385479,29259979.93
NL0011794037,AD,AD.AS,AHOLD DEL,Grocery Stores,Services,"Euronext Amsterdam, Brussels",EUR,24.45,24.86,24.36,24.66,03/08/20 17:39,CET,3080394,75851049.47
FR0000031122,AF,AFR.F,AIR FRANCE -KLM,Airlines,,"Euronext Paris, Amsterdam",EUR,3.524,3.536,3.26,3.37,03/08/20 17:35,CET,6716666,22455994.43
NL0000018034,AJAX,AJAX.AS,AJAX,Leisure,Consumer Goods,Euronext Amsterdam,EUR,15.10,15.48,15.02,15.04,03/08/20 17:13,CET,2760,42061.00
NL0013267909,AKZA,AKZA.AS,AKZO NOBEL,Specialty Chemicals,Basic Materials,Euronext Amsterdam,EUR,80.00,81.42,79.22,80.84,03/08/20 17:35,CET,470576,37938652.70
NL0012817175,ALFEN,ALFEN.AS,ALFEN,Electrical Equipment & Parts,,Euronext Amsterdam,EUR,37.70,39.90,37.70,39.65,03/08/20 17:35,CET,135741,5321944.00
NL0011333760,ATCB,ATCB.AS,ALTICE EUROPE B,Telecom Services,,Euronext Amsterdam,EUR,3.975,4.045,3.84,3.90,03/08/20 17:35,CET,82695,324680.07
NL0011333752,ATC,ATC.AS,ALTICE EUROPE N.V.,Telecom Services,,Euronext Amsterdam,EUR,4.013,4.031,3.801,3.949,03/08/20 17:35,CET,6846908,26739240.64
NL0012194724,ALX,ALX.AS,ALUMEXX N.V.,Internet Retail,,Euronext Amsterdam,EUR,0.43,0.43,0.418,0.42,03/08/20 16:34,CET,6501,2726.72
NL0000888691,AMG,AMG.AS,AMG,Other Industrial Metals & Mining,Basic Materials,Euronext Amsterdam,EUR,15.12,15.355,14.80,15.295,03/08/20 17:35,CET,154853,2346367.98
NL0000313286,ACOMO,ACOMO.AS,AMSTERDAM COMMOD.,Food Distribution,Services,Euronext Amsterdam,EUR,18.80,19.10,18.80,19.10,03/08/20 17:35,CET,3212,60873.74
NL0000430106,AND,AND.AS,AND INTERNATIONAL,Internet Content & Information,,Euronext Amsterdam,EUR,1.36,1.365,1.355,1.355,31/07/20 13:38,CET,227,309.19
GB00B15Y0C52,AAA,AAA.AS,AP ALTERNAT ASSETS,Fund,,Euronext Amsterdam,USD,0.08,0.08,0.08,0.08,15/07/20 17:23,CET,33014,2307.87
LU0569974404,APAM,APAM.AS,APERAM,Steel,,"Euronext Amsterdam, Brussels, Paris",EUR,24.09,24.24,23.60,24.19,03/08/20 17:35,CET,186355,4469722.04
NL0006237562,ARCAD,ARCAD.AS,ARCADIS,Engineering & Construction,Industrial Goods,Euronext Amsterdam,EUR,17.30,18.11,17.15,18.11,03/08/20 17:35,CET,198880,3519563.30
LU1598757687,MT,MT.AS,ARCELORMITTAL SA,Steel,Basic Materials,"Euronext Amsterdam, Paris",EUR,9.35,9.66,9.265,9.60,03/08/20 17:38,CET,6812655,64771564.04
NL0000334118,ASM,ASM.AS,ASM INTERNATIONAL,Semiconductor Equipment & Materials,Technology,Euronext Amsterdam,EUR,129.00,131.90,127.55,131.15,03/08/20 17:35,CET,322767,42076843.50
NL0010273215,ASML,ASML.AS,ASML HOLDING,Semiconductor Equipment & Materials,Technology,Euronext Amsterdam,EUR,299.70,311.80,299.50,310.10,03/08/20 17:39,CET,1073460,330271533.75
NL0011872643,ASRNL,ASRNL.AS,ASR NEDERLAND,Insurance—Diversified,,Euronext Amsterdam,EUR,27.63,28.33,27.17,28.26,03/08/20 17:37,CET,315083,8800659.91
JE00B3DCF752,ATRS,ATRS.AS,ATRIUM EUR REALEST,Real Estate Development,Financial,Euronext Amsterdam,EUR,2.31,2.34,2.30,2.34,03/08/20 15:59,CET,776,1815.44
NL0012047823,AVTX,AVTX.AS,AVANTIUM,Specialty Chemicals,,"Euronext Amsterdam, Brussels",EUR,6.00,6.44,5.90,6.40,03/08/20 17:35,CET,79468,493606.22
LU1789205884,BSGR,BSGR.AS,B&S Group,Food Distribution,,Euronext Amsterdam,EUR,5.31,5.55,5.18,5.36,03/08/20 17:35,CET,90099,480812.87
NL0000337319,BAMNB,BAMNB.AS,BAM GROEP KON,Engineering & Construction,,Euronext Amsterdam,EUR,1.322,1.358,1.293,1.357,03/08/20 17:35,CET,1388596,1840442.10
NL0011872650,BFIT,BFIT.AS,BASIC-FIT,Leisure,,Euronext Amsterdam,EUR,22.05,22.15,20.75,21.50,03/08/20 17:35,CET,374000,7952885.45
NL0012866412,BESI,BESI.AS,BE SEMICONDUCTOR,Semiconductor Equipment & Materials,Technology,Euronext Amsterdam,EUR,37.54,38.66,37.54,38.34,03/08/20 17:35,CET,545734,20904620.16
NL0000339703,BBED,BBED.AS,BETER BED,"Furnishings, Fixtures & Appliances",Consumer Goods,Euronext Amsterdam,EUR,2.435,2.46,2.395,2.46,03/08/20 17:35,CET,41543,100784.92
NL0000285278,BEVER,BEVER.AS,BEVER HOLDING,Real Estate Services,Financial,Euronext Amsterdam,EUR,4.40,4.40,4.40,4.40,03/08/20 16:30,CET,1400,6160.00
NL0000852580,BOKA,BOKA.AS,BOSKALIS WESTMIN,Engineering & Construction,Industrial Goods,Euronext Amsterdam,EUR,16.00,16.53,16.00,16.44,03/08/20 17:35,CET,106783,1747137.52
GG00B1FQG453,BGHL,BGHL.AS,BOUSSARD GAVAUDAN,Asset Management,,Euronext Amsterdam,EUR,16.70,16.75,16.70,16.70,31/07/20 14:43,CET,1000,16708.70
GG00B39VMM07,BGHS,BGHS.L,BOUSSARD GHL GBP,Asset Management,,Euronext Amsterdam,GBP,10.00,10.00,10.00,10.00,21/12/10 11:50,CET,188,1880.00
NL0000442523,BRILL,BRILL.AS,BRILL KON,Publishing,Services,Euronext Amsterdam,EUR,17.70,17.70,17.10,17.50,03/08/20 14:00,CET,900,15728.50
NL0010776944,BRNL,BRNL.AS,BRUNEL INTERNAT,Staffing & Employment Services,Services,Euronext Amsterdam,EUR,6.24,6.46,6.15,6.39,03/08/20 17:37,CET,130131,829964.19
NL0012747059,CMCOM,CMCOM.AS,CM.COM,Software—Application,,Euronext Amsterdam,EUR,15.10,15.40,15.00,15.20,03/08/20 17:23,CET,14403,218547.20
GB00BDCPN049,CCEP,CCEP.AS,COCA-COLA EUROPEAN,Beverages—Non-Alcoholic,,Euronext Amsterdam,EUR,34.50,34.95,33.90,34.25,03/08/20 17:36,CET,57768,1981292.85
NL0010583399,CRBN,CRBN.AS,CORBION,Specialty Chemicals,,Euronext Amsterdam,EUR,32.85,32.95,32.40,32.65,03/08/20 17:35,CET,71871,2344015.05
NL0000200384,CLB,CLB.AS,CORE LABORATORIES,Oil & Gas Equipment & Services,,Euronext Amsterdam,EUR,17.20,19.20,17.20,18.80,03/08/20 16:15,CET,1121,20992.80
NL0000345577,CTAC,CTAC.AS,CTAC,Information Technology Services,Technology,Euronext Amsterdam,EUR,1.635,1.66,1.60,1.65,03/08/20 17:21,CET,8461,13900.28
NL0009169515,DGB,DGB.AS,DGB GROUP N.V.,Software—Application,,Euronext Amsterdam,EUR,0.62,0.62,0.62,0.62,03/08/20 15:20,CET,9340,5790.80
NL0009197771,DPA,DPA.AS,DPA GROUP,Staffing & Employment Service,Services,Euronext Amsterdam,EUR,0.998,1.03,0.998,1.03,03/08/20 16:56,CET,1034,1045.33
NL0000009827,DSM,DSM.AS,DSM KON,Specialty Chemicals,Basic Materials,Euronext Amsterdam,EUR,130.15,133.00,129.55,132.40,03/08/20 17:35,CET,460478,60802490.60
